pair_id,user_id,user_org_id,clean_item_id,clean_item_org_id,noisy_item_id,noisy_item_org_id,clean_predictive_variance,noisy_predictive_variance,predictive_variance_delta,clean_top20_dimension_share,noisy_top20_dimension_share,clean_normalized_entropy,noisy_normalized_entropy
0,11829,AGU37CFFNKYLZ2MDLWASVPXUFU3A,1648,B00JE6W7N4,771,B005SCIOQC,44.06664276123047,42.00167465209961,-2.0649681091308594,0.36844793168911993,0.3636480781916392,0.9712830988383668,0.9763608310361666
1,6520,AFM76HMMORPZ2I2XRV5RQG2GLOBA,3554,B07HM9KG71,4730,B08WD69XYN,34.92628479003906,37.73781967163086,2.811534881591797,0.3344210966739338,0.34240702339595874,0.9830008123522704,0.9811275554981677
2,8366,AG2BJGXZYAQX4N7ECFUI6UHRPGHQ,5053,B09FKK92CR,6117,B0BBDZ2RGH,38.80255889892578,38.170936584472656,-0.631622314453125,0.3232640424768549,0.33556285954175863,0.9862791736847336,0.9849039116724198
3,11208,AGPN42BAV7MB2QWKARCHTHUQKERA,7460,B0C6MZ7GVW,3520,B07GL4D84M,35.12163543701172,39.47145080566406,4.349815368652344,0.32344117151283325,0.3399683872787216,0.9878133136622018,0.982853011506901
4,14844,AHKEJR77LWV7JAKDUQN37XFA5GWQ,958,B007Y4U280,3515,B07GJKXFHJ,38.777671813964844,40.98941421508789,2.211742401123047,0.3559319272092263,0.3612339837980571,0.9770764546530735,0.9741510565588234
5,194,AE3NC6MKV5NMSJD25DIUTBBSLJUQ,958,B007Y4U280,5628,B09XXTLFGN,39.26904296875,41.221778869628906,1.9527359008789062,0.31704573173909706,0.33386079021897097,0.9874374060638298,0.9827075987646712
6,16652,AHXVT3GNY2KMD3QLW4WOEATKKNHQ,5422,B09S8PT9L6,778,B005U9Y2XM,35.29060745239258,37.129066467285156,1.8384590148925781,0.32064360395613006,0.32522752158744306,0.9881615513698058,0.9858667123543283
7,5005,AF7XNTURXVPO55T5EP4B4DVPQPPQ,3034,B075GSQXQ2,6881,B0BVR11196,44.01089096069336,44.060176849365234,0.049285888671875,0.36029044888535533,0.3618747062904504,0.9775723512406529,0.9771630180616868
8,8250,AFZK3AERURUOZJBMFRG5LZL43I6Q,2902,B071ZZ2FS9,4867,B095LCKTPD,37.61192321777344,40.21294021606445,2.6010169982910156,0.31356317759518426,0.3406684276548816,0.9884217160450016,0.9822523216971211
9,502,AE5SMITO7ABCZIMMZLHGXOP2MSNQ,1875,B00OX53QHC,6930,B0BWG1437K,36.478782653808594,36.776729583740234,0.2979469299316406,0.3135931584660036,0.31657697744104696,0.987892123747657,0.9860935289312804
