dimension,dimension_rank,mean_clean_var,mean_noisy_var,delta_log_ratio,attention_weight
2,0,0.07906211912631989,0.08158855885267258,0.031455039978027344,0.9499983191490173
20,1,0.08036022633314133,0.08140059560537338,0.0128631591796875,0.950089693069458
18,2,0.07925590127706528,0.08119546622037888,0.02417755126953125,0.9501893520355225
46,3,0.07998751103878021,0.08118630200624466,0.014876127243041992,0.9501937627792358
11,4,0.07892313599586487,0.08118001371622086,0.028194665908813477,0.9501968026161194
28,5,0.08052658289670944,0.08108197897672653,0.006873369216918945,0.9502444267272949
31,6,0.07889031618833542,0.08107966184616089,0.027373552322387695,0.9502456188201904
61,7,0.08062981069087982,0.08091708272695541,0.003556489944458008,0.950324535369873
30,8,0.08009079843759537,0.0807328000664711,0.007983922958374023,0.9504141211509705
5,9,0.07921797782182693,0.08072832971811295,0.018886327743530273,0.9504162669181824
13,10,0.0784817636013031,0.0805821344256401,0.026410579681396484,0.9504872560501099
47,11,0.08064138889312744,0.08052375167608261,-0.0014600753784179688,0.950515627861023
3,12,0.0790528953075409,0.08041611313819885,0.01709747314453125,0.9505680203437805
49,13,0.08022698014974594,0.08035044372081757,0.0015377998352050781,0.9505998492240906
26,14,0.07925591617822647,0.08032943308353424,0.013453960418701172,0.9506101608276367
32,15,0.08086719363927841,0.08030649274587631,-0.0069577693939208984,0.9506211876869202
9,16,0.08031690120697021,0.08028744906187057,-0.0003666877746582031,0.9506304860115051
33,17,0.07978340238332748,0.08027013391256332,0.006082057952880859,0.9506389498710632
6,18,0.0792369470000267,0.08018999546766281,0.011956214904785156,0.9506779313087463
34,19,0.07971054315567017,0.08015791326761246,0.005596637725830078,0.9506934881210327
62,20,0.07897882163524628,0.08010224997997284,0.014124393463134766,0.950720489025116
50,21,0.07968588173389435,0.0800592228770256,0.004674196243286133,0.9507414698600769
14,22,0.07956159859895706,0.07999135553836823,0.005387067794799805,0.9507743716239929
51,23,0.07964351773262024,0.0799574926495552,0.003934621810913086,0.9507908225059509
39,24,0.07999447733163834,0.07995164394378662,-0.0005357265472412109,0.9507937431335449
45,25,0.07929743081331253,0.07995009422302246,0.008196830749511719,0.9507943987846375
25,26,0.0788915678858757,0.07989169657230377,0.01259756088256836,0.9508228302001953
7,27,0.07904981821775436,0.07986477762460709,0.010256767272949219,0.9508359432220459
60,28,0.07904156297445297,0.07985582202672958,0.010248899459838867,0.9508402347564697
24,29,0.07880748063325882,0.07985488325357437,0.013203144073486328,0.9508407115936279
53,30,0.07980816811323166,0.0798269733786583,0.00023555755615234375,0.9508542418479919
63,31,0.07855535298585892,0.07976233214139938,0.015247821807861328,0.9508857131004333
0,32,0.07991255074739456,0.07975133508443832,-0.0020194053649902344,0.9508910775184631
56,33,0.07951834797859192,0.07972370833158493,0.0025794506072998047,0.9509044885635376
8,34,0.07897171378135681,0.07971877604722977,0.009415388107299805,0.9509068727493286
57,35,0.07919186353683472,0.07968436926603317,0.006199836730957031,0.9509236812591553
17,36,0.08000614494085312,0.07967761158943176,-0.004114627838134766,0.9509268999099731
43,37,0.07916014641523361,0.07967685908079147,0.006506204605102539,0.9509272575378418
36,38,0.07976177334785461,0.07963231205940247,-0.0016245841979980469,0.95094895362854
4,39,0.07980317622423172,0.0796312764286995,-0.0021562576293945312,0.9509493708610535
44,40,0.07946065813302994,0.07963080704212189,0.0021390914916992188,0.9509496092796326
41,41,0.07886361330747604,0.0796264111995697,0.009625911712646484,0.9509517550468445
58,42,0.07892648875713348,0.07959602773189545,0.008447408676147461,0.9509665966033936
22,43,0.07868056744337082,0.07959563285112381,0.01156306266784668,0.9509667754173279
37,44,0.07889199256896973,0.07957426458597183,0.008610963821411133,0.9509771466255188
40,45,0.07930224388837814,0.0795481875538826,0.0030965805053710938,0.950989842414856
21,46,0.07905552536249161,0.07947555184364319,0.005299091339111328,0.9510250687599182
1,47,0.07988760620355606,0.0794568881392479,-0.00540614128112793,0.9510341882705688
48,48,0.07942439615726471,0.07944532483816147,0.00026345252990722656,0.9510397911071777
23,49,0.07825890183448792,0.07944247871637344,0.015010595321655273,0.9510411620140076
29,50,0.07928580790758133,0.07941931486129761,0.0016825199127197266,0.9510524868965149
10,51,0.07969440519809723,0.07941893488168716,-0.0034627914428710938,0.9510526657104492
27,52,0.0797460526227951,0.07941533625125885,-0.004155874252319336,0.9510543942451477
16,53,0.0791482925415039,0.0793892964720726,0.003040313720703125,0.9510670304298401
52,54,0.07866550236940384,0.07938884943723679,0.009153127670288086,0.9510672092437744
42,55,0.07867862284183502,0.07933063805103302,0.008253097534179688,0.9510955810546875
59,56,0.07894992083311081,0.07927418500185013,0.0040988922119140625,0.9511229991912842
15,57,0.0785331130027771,0.07922644913196564,0.008789777755737305,0.9511462450027466
35,58,0.07972928881645203,0.07919716835021973,-0.006696462631225586,0.9511604905128479
38,59,0.07870541512966156,0.07915901392698288,0.005746603012084961,0.951179027557373
12,60,0.08086693286895752,0.07912202179431915,-0.02181386947631836,0.9511969685554504
19,61,0.0800366997718811,0.07911714166402817,-0.011555671691894531,0.9511993527412415
55,62,0.07920469343662262,0.07901763170957565,-0.002364635467529297,0.9512477517127991
54,63,0.07997790724039078,0.07848898321390152,-0.018792152404785156,0.9515047073364258
