noise_ratio,user_id,noise_count,mean_user_variance
0.1,1,1,0.08069795370101929
0.1,4,2,0.0797240138053894
0.1,7,2,0.08030770719051361
0.1,8,1,0.08107399195432663
0.1,12,1,0.08153627812862396
0.1,17,1,0.07909680902957916
0.1,18,1,0.08111149817705154
0.1,19,1,0.08124712109565735
0.1,22,1,0.0809672623872757
0.1,23,1,0.08070774376392365
0.1,25,2,0.0809086337685585
0.1,31,1,0.0803804099559784
0.1,32,6,0.08203564584255219
0.1,34,2,0.08125090599060059
0.1,46,1,0.08089980483055115
0.1,47,2,0.07995044440031052
0.1,53,1,0.081416055560112
0.1,54,1,0.08037617057561874
0.1,55,1,0.08079928904771805
0.1,57,2,0.0809769481420517
0.1,60,2,0.08086889982223511
0.1,67,4,0.08193113654851913
0.1,70,1,0.08056611567735672
0.1,72,1,0.08002616465091705
0.1,73,1,0.07942888140678406
0.1,79,1,0.08013319224119186
0.1,82,1,0.08075755834579468
0.1,84,1,0.08071597665548325
0.1,91,1,0.08100602775812149
0.1,97,1,0.07945843040943146
0.1,99,1,0.08116808533668518
0.1,103,3,0.08007229119539261
0.1,107,1,0.08002729713916779
0.1,114,1,0.0799388438463211
0.1,115,1,0.08037371188402176
0.1,118,1,0.08090168982744217
0.1,122,2,0.08173003792762756
0.1,125,1,0.08098259568214417
0.1,126,1,0.08114632964134216
0.1,130,1,0.0802934542298317
0.1,131,1,0.08034838736057281
0.1,136,1,0.08051595836877823
0.1,137,1,0.08148203790187836
0.1,139,1,0.07923004031181335
0.1,142,5,0.08021943271160126
0.1,143,1,0.08127037435770035
0.1,144,1,0.0797865018248558
0.1,146,1,0.08067894726991653
0.1,147,1,0.08006717264652252
0.1,148,2,0.08092871308326721
0.1,149,1,0.08006255328655243
0.1,150,2,0.08031995594501495
0.1,154,1,0.08057388663291931
0.1,159,1,0.08084753900766373
0.1,169,1,0.08036535233259201
0.1,171,1,0.08050428330898285
0.1,172,1,0.08107263594865799
0.1,173,1,0.0799645185470581
0.1,178,1,0.07930022478103638
0.1,181,2,0.08135822415351868
0.1,182,1,0.07963422685861588
0.1,185,4,0.07986529171466827
0.1,187,1,0.0798315554857254
0.1,190,1,0.08063802123069763
0.1,191,1,0.080707848072052
0.1,192,2,0.08051272481679916
0.1,196,1,0.08040821552276611
0.1,201,1,0.08079496026039124
0.1,203,1,0.08018619567155838
0.1,206,1,0.08096268773078918
0.1,208,1,0.08058200776576996
0.1,209,1,0.08014406263828278
0.1,210,2,0.08026307076215744
0.1,213,1,0.08024060726165771
0.1,215,1,0.08061777055263519
0.1,218,2,0.0809067115187645
0.1,219,1,0.0810990184545517
0.1,220,1,0.08083859831094742
0.1,222,1,0.08042562007904053
0.1,224,1,0.0807434469461441
0.1,227,1,0.08055184781551361
0.1,232,1,0.08033698797225952
0.1,234,1,0.08094482123851776
0.1,239,1,0.08029209077358246
0.1,242,1,0.08041588962078094
0.1,248,1,0.08005904406309128
0.1,251,1,0.08058914542198181
0.1,257,1,0.0800066888332367
0.1,271,1,0.08086036145687103
0.1,273,1,0.08046174049377441
0.1,274,1,0.08079153299331665
0.1,281,3,0.0808853730559349
0.1,282,2,0.08109095692634583
0.1,286,3,0.0806078091263771
0.1,290,1,0.07994336634874344
0.1,292,3,0.08128923922777176
0.1,293,1,0.08121341466903687
0.1,294,1,0.0798432007431984
0.1,296,1,0.08093767613172531
0.1,299,1,0.08053254336118698
0.1,302,1,0.08071541041135788
0.1,303,1,0.07922036945819855
0.1,305,1,0.07929962128400803
0.1,307,1,0.08051437139511108
0.1,308,1,0.08095662295818329
0.1,312,1,0.08057428151369095
0.1,319,1,0.08037209510803223
0.1,320,1,0.08068037033081055
0.1,322,2,0.08056314289569855
0.1,329,2,0.08157122880220413
0.1,331,1,0.07996192574501038
0.1,335,1,0.0807885229587555
0.1,336,1,0.08063627779483795
0.1,340,1,0.0806313008069992
0.1,346,1,0.08003181219100952
0.1,351,1,0.08099296689033508
0.1,353,1,0.08152969181537628
0.1,357,1,0.0807538628578186
0.1,358,1,0.08081351965665817
0.1,359,1,0.08031471073627472
